t,q1,q2,q3,dq1,dq2,dq3,tau
0.44,0.708799004356367,-0.0612180928841245,-0.0166365274649107,0.775314439252954,0.424906984732818,0.133507153559655,7.61330165989737
0.45,0.716280429355799,-0.0564632495977548,-0.0152361511717175,0.760176191836219,0.452667957361178,0.141019319021066,6.56677914706634
0.46,0.723529538578742,-0.051551592690048,-0.0137884439326327,0.724636282240189,0.464209679902729,0.143620635894812,5.65711231160493
0.47,0.730361328386512,-0.0466430546912138,-0.0123406701049126,0.671945858054286,0.460999015619089,0.141785135280726,4.89579596136896
0.48,0.736623064531738,-0.0418797966212606,-0.0109348422572294,0.605500779805341,0.444765292083265,0.136046213803128,4.28876093082989
0.49,0.742195197515458,-0.0373841087535801,-0.00960711113106324,0.528722227898876,0.41742798121131,0.126975471912973,3.83683374280411
0.5,0.746991210278074,-0.0332571132640879,-0.00838741169153792,0.444970541565668,0.38097065273486,0.115230802871926,3.53619026007773
0.51,0.750956492327746,-0.0295781863916035,-0.00729926778141177,0.357430292245028,0.337443707659192,0.101446767152731,3.37909919923021
0.52,0.754066450753036,-0.0264051270667659,-0.0063598277894272,0.269041580742539,0.288900670395072,0.0861975792874978,3.35454899294918
0.53,0.75632395987636,-0.0237748740535882,-0.00558012967965698,0.182468229241979,0.23725251414826,0.0701220842172283,3.44878938195341
0.54,0.757756235609372,-0.0217046699660125,-0.00496539025966403,0.100009085815872,0.184346154625781,0.053752712656223,3.64624373913203
0.55,0.758411414472171,-0.020193751839674,-0.00451552128416971,0.0236072336797835,0.131830468838153,0.0376043958429614,3.92997617039271
0.56,0.758354859281826,-0.0192252844878021,-0.00422569610338881,-0.0451853495912066,0.0811686941387503,0.0221384153530479,4.28242236529944
0.57,0.757665389937555,-0.0187685947126309,-0.00408697287273988,-0.105215831363626,0.03364760223818,0.00769288398162702,4.6859951758021
0.58,0.756431566433218,-0.0187815714977228,-0.00408703577050062,-0.155696235449724,-0.00971116920297605,-0.00541599867527802,5.1234707218832
0.59,0.754748055259589,-0.0192130764331275,-0.0042108880299301,-0.196207266225533,-0.0480992317685468,-0.0169570051148297,5.57855255180661
0.6,0.752712244156198,-0.0200054064356899,-0.00444157889218181,-0.226656859532362,-0.0809521710078063,-0.0267568945698012,6.03617218384931
0.61,0.750421136945066,-0.0210966606387301,-0.00476089588763617,-0.247257672281029,-0.107913518985443,-0.0347254279482351,6.48284232926256
0.62,0.747968609593737,-0.0224229958301381,-0.00515003074114276,-0.258482279173669,-0.128834258629277,-0.0408414761416259,6.90684446642502
0.63,0.745443046597947,-0.02392067273934,-0.00559020317001392,-0.261014532916628,-0.143780971437438,-0.0451025200577442,7.29834018450839
0.64,0.742925371976179,-0.0255278698383263,-0.00606317034455341,-0.255725810892257,-0.152955887639275,-0.0475965589903463,7.64954776765167
0.65,0.740487539887902,-0.027186292612062,-0.00655171383257439,-0.243614050745171,-0.156715034660637,-0.0484499944805841,7.95466378015779
0.66,0.738191424861131,-0.0288424643263048,-0.00704003082267301,-0.225766001084875,-0.155536311382661,-0.0478125644794554,8.20984078587203
0.67,0.736088117870526,-0.0304487454399345,-0.00751402956398967,-0.203317844373205,-0.149986246672973,-0.0458639260975557,8.41309605090442
0.68,0.734217613483602,-0.031964081431688,-0.00796155594552634,-0.17741412417919,-0.140703089396891,-0.0427936580235121,8.56415310797287
0.69,0.732608846072451,-0.0333544778456653,-0.00837252649173925,-0.149180550154065,-0.128350855540109,-0.0388210296556956,8.66430034951998
0.7,0.731280053167896,-0.0345932338642236,-0.00873900772415238,-0.119685298436542,-0.113619307694697,-0.0341594401306506,8.71614302661557
0.71,0.730239396031125,-0.0356609164524561,-0.00905521523847016,-0.0899162330757399,-0.0972002595214347,-0.0290050156780042,8.72339627032714
0.72,0.72948580456979,-0.0365451382268409,-0.00931743402518456,-0.0607684296578775,-0.0797422480565381,-0.0235714719255709,8.69069597243807
0.73,0.729010015883999,-0.0372401718837252,-0.00952392016567492,-0.0330167068085759,-0.0618681975247093,-0.0180421572738574,8.6233056610603
0.74,0.728795720541993,-0.037746384587084,-0.00967473065000975,-0.00731512934332289,-0.0441380786262084,-0.0125897965609183,8.52694207503487
0.75,0.728820800691689,-0.038069577756574,-0.00977152769731921,0.0158127721823701,-0.0270462976604755,-0.00737064624322476,8.40754054495211
0.76,0.729058600943857,-0.0382202286429237,-0.00981736555465536,0.0359782216625517,-0.0110265770514276,-0.00250043099352406,8.27104325972595
0.77,0.729479184860483,-0.0382126721996896,-0.00981643872152061,0.0529163276375541,0.0035762388147182,0.0019149586954131,8.12326514235697
0.78,0.730050564176905,-0.0380642777732706,-0.00977384482026476,0.0664875415188908,0.0164883174088823,0.00580141840589223,7.96970217548706
0.79,0.730739846169673,-0.0377946131694973,-0.00969533134361943,0.0766604062990763,0.0275279555771406,0.00909146169848954,7.81544555267084
0.8,0.731514292850182,-0.0374246460902986,-0.00958707192105485,0.0835115142510519,0.0365708959355441,0.0117624509416904,7.66502301083473
0.81,0.732342243714849,-0.0369759677647456,-0.00945543056512927,0.0872022491250658,0.0435707254146008,0.0138082903445071,7.52237670676456
0.82,0.73319391907104,-0.0364701079817211,-0.00930675401787429,0.0879673790426284,0.0485493575127802,0.0152328049702126,7.39079975374808
0.83,0.734042083836562,-0.0359279232285673,-0.00914719340752825,0.0861002454581172,0.0515882605293406,0.0160519278961661,7.27291070684229
0.84,0.734862562485019,-0.0353690616891742,-0.0089825568969006,0.0819438563112039,0.0528000568531226,0.0163206810898768,7.17062085530837
0.85,0.73563459682996,-0.0348115117760502,-0.00881816249612127,0.0758652641828456,0.0523507956445793,0.0160900208088294,7.085208664209
0.86,0.736341083294735,-0.0342712755345555,-0.00865874309633002,0.0682491319099139,0.0504338671661767,0.0154191404266296,7.01731635585739
0.87,0.736968672009627,-0.0337621189975851,-0.00850837458920027,0.0594821075359598,0.0472659403826973,0.014372529518496,6.96701317049332
0.88,0.737507746401575,-0.0332954160216536,-0.00837043080920637,0.0499437232354312,0.0430719658640421,0.0130243338817045,6.93384393320385
0.89,0.737952293804992,-0.0328800750865996,-0.00824755853125025,0.0399934593970472,0.0380850202657404,0.0114465439056016,6.91691314188315
0.9,0.73829969007384,-0.0325225531359561,-0.00814167968267594,0.0299633233209121,0.0325378255165522,0.00970595026042262,6.91495438193663
0.91,0.738550409525642,-0.0322269352052305,-0.00805401883181614,0.0201532075862436,0.0266492867328685,0.0078734668786353,6.92639704283967
0.92,0.73870767203518,-0.0319950692994245,-0.00798513898939754,0.0108227321044498,0.0206278242834419,0.00601145544075396,6.94946004381802
0.93,0.738777053709129,-0.0318267589223727,-0.0079349987843527,0.00219020318797234,0.0146615622156169,0.00417735977817049,6.98221543730801
0.94,0.738766069398011,-0.0317199888648999,-0.00790301947739889,-0.00556996887241982,0.00891629089511676,0.00242271939390229,7.02266394427775
0.95,0.738683744682976,-0.0316711811483227,-0.0078881581119843,-0.0123282686322649,0.00353582408293492,0.000787663034756017,7.06880415033218
0.96,0.738540192606509,-0.0316754698630375,-0.00788899042613705,-0.0179974781446508,-0.00136397862970367,-0.000693480917460229,7.11868300936412
0.97,0.738346202258664,-0.0317269793460786,-0.00790379258133059,-0.0225315480741111,-0.00569346351079192,-0.00199423921107393,7.17045191118823
0.98,0.738112853268876,-0.0318191037790964,-0.00793062294230734,-0.0259222838421946,-0.00938901255401202,-0.00309666565084086,7.22240793849678
0.99,0.737851163962388,-0.0319447775506281,-0.00796740227986873,-0.0281953519786233,-0.0124125596581615,-0.00399004526330715,7.27302667515215
1,0.737571779077489,-0.0320967294379245,-0.00801198816745627,-0.0294063035106723,-0.0147485964238696,-0.00467225378605043,7.32098916554725
