dagger/total_timesteps,bc/l2_loss,dagger/round_episode_count,batch_size,rollout/return_std,dagger/mean_episode_reward,bc/neglogp,rollout/return_max,bc/entropy,rollout/return_min,rollout/return_mean,bc/l2_norm,bc/loss,dagger/round_num,bc/epoch,bc/prob_true_act,dagger/round_timestep_count,bc/samples_so_far,bc/batch,bc/ent_loss
,0.0,,32,0.07210132310190524,,-2.0460004291563636,-0.10705530774430372,-1.386850118637085,-0.3250089468265287,-0.24186704171606835,289.2063293457031,-2.0446135790153748,,3,11.172758998949181,,112032,3500,0.0013868501409888268
,0.0,,32,0.0878650759597217,,-2.431825742366339,-0.06508339536412677,-1.370837688446045,-0.3261813338340289,-0.17498002774973428,291.5582580566406,-2.430454904570791,,3,13.228994035473397,,128032,4000,0.001370837795548141
40800,0.0,17,32,0.07491573402507469,-0.19757567696711598,-2.558501821040452,-0.10214012531469052,-1.378777265548706,-0.3119992168540193,-0.1784984704976523,294.0478210449219,-2.5571230437199555,7,0,14.479524527776757,5100,32,0,0.001378777320496738
,0.0,,32,0.09624198101957289,,-1.5648173370030445,-0.158409845764254,-1.3929636478424072,-0.39583362644407316,-0.25800674169513516,295.9302673339844,-1.56342437331143,,0,11.607303203658237,,16032,500,0.0013929636916145682
,0.0,,32,0.08735727379596472,,-2.1147620129252354,-0.100399019287579,-1.4012290239334106,-0.3201477656784846,-0.21858448670900543,298.7944641113281,-2.1133607838621864,,0,12.962185402973937,,32032,1000,0.0014012290630489588
,0.0,,32,0.03323014008310919,,-1.6409227837356695,-0.052594222066545626,-1.3600589036941528,-0.1546521774798748,-0.0994504619644431,300.5195617675781,-1.639562724718354,,1,12.20094701282277,,48032,1500,0.001360059017315507
,0.0,,32,0.11630002810943464,,-2.0702271200531523,-0.04234622399053478,-1.418907642364502,-0.38558897958137095,-0.16877856271348718,302.87384033203125,-2.0688082123921614,,1,14.126816616599399,,64032,2000,0.0014189076609909534
,0.0,,32,0.11107821502378952,,-1.3834673954000716,-0.09681615531007992,-1.4373434782028198,-0.37915980910293,-0.22432680537185662,305.45806884765625,-1.3820300518594701,,1,14.649687362651173,,80032,2500,0.0014373435406014323
,0.0,,32,0.060705536154569736,,-2.2543899494828565,-0.07723825868743006,-1.477954626083374,-0.22519061904131377,-0.1561348740826361,307.4737548828125,-2.2529119948064817,,2,14.244466534156585,,96032,3000,0.001477954676374793
,0.0,,32,0.09138722539466501,,-2.313183627025299,-0.10500023626809707,-1.4814103841781616,-0.3292821889172046,-0.21662655836516934,310.3856506347656,-2.3117022165600956,,2,15.284724331257786,,112032,3500,0.0014814104652032256
,0.0,,32,0.07597222862622378,,-0.08363306421682881,-0.1181752198644972,-1.5685677528381348,-0.32614943858970946,-0.2024038863779424,312.7502136230469,-0.08206449639414148,,3,14.40851161822983,,128032,4000,0.0015685678226873279
,0.0,,32,0.31385587711825313,,-2.631348219106722,-0.08404558816982899,-1.549604892730713,-0.94536519041867,-0.33802363407521624,315.0175476074219,-2.629798614175807,,3,16.976278027160497,,144032,4500,0.0015496049309149384
,0.0,,32,0.08041965134549715,,-2.80952533352855,-0.11063795929658227,-1.5806553363800049,-0.33155226496455725,-0.18041198228493158,317.3169860839844,-2.8079446780701667,,3,17.455188325668182,,160032,5000,0.0015806554583832622
